"Timestamp","User ID","Event Type","Additional Data"
"7/1/2023 10:15","1","Click","Button A"
"7/1/2023 11:20","2","View","Page X"
"7/1/2023 12:45","3","Click","Button B"
"7/1/2023 14:10","4","View","Page Y"
"7/1/2023 15:30","5","Click","Button C"
"7/1/2023 16:55","6","View","Page Z"
"7/1/2023 18:25","7","Click","Button D"
"7/1/2023 19:40","8","View","Page Z"
"7/1/2023 20:55","9","Click","Button A"
"7/1/2023 22:10","10","View","Page Y"
"7/2/2023 9:30","11","Click","Button B"
"7/2/2023 11:05","12","View","Page X"
"7/2/2023 13:20","13","Click","Button D"
"7/2/2023 15:45","14","View","Page Z"
"7/2/2023 17:55","15","Click","Button C"
"7/2/2023 19:10","16","View","Page Y"
"7/2/2023 21:35","17","Click","Button A"
"7/2/2023 23:50","18","View","Page X"
"7/3/2023 8:20","19","Click","Button B"
"7/3/2023 10:45","20","View","Page Y"
